Transact_No,Symbol,Buyer,Seller,Quantity,Rate,Amount
2024091801021715,NABIL,45,38,139,556.50,"77,353.50"
2024091801021626,NABIL,41,38,20,558.00,"11,160.00"
2024091801021594,NABIL,35,60,300,557.00,"167,100.00"
2024091801021528,NABIL,45,7,61,556.50,"33,946.50"
2024091801021917,NABIL,1,58,10,557.90,"5,579.00"
2024091801021818,NABIL,6,35,130,558.00,"72,540.00"
2024091801021817,NABIL,6,42,70,558.00,"39,060.00"
2024091801021720,NABIL,19,38,108,556.00,"60,048.00"
2024091801021719,NABIL,55,38,10,556.00,"5,560.00"
2024091801021718,NABIL,49,38,100,556.00,"55,600.00"
2024091801021924,NABIL,57,60,61,556.00,"33,916.00"
2024091801021923,NABIL,38,60,100,556.00,"55,600.00"
2024091801021922,NABIL,48,60,50,556.00,"27,800.00"
2024091801021921,NABIL,50,60,10,556.00,"5,560.00"
2024091801021920,NABIL,56,60,50,556.00,"27,800.00"
2024091801021919,NABIL,19,60,79,556.00,"43,924.00"
2024091801022140,NABIL,42,57,50,558.00,"27,900.00"
2024091801022139,NABIL,42,6,24,558.00,"13,392.00"
2024091801022076,NABIL,42,6,276,558.00,"154,008.00"
2024091801022075,NABIL,42,35,364,558.00,"203,112.00"
2024091801022074,NABIL,42,58,160,557.90,"89,264.00"
2024091801022052,NABIL,32,58,10,557.90,"5,579.00"
2024091801022146,NABIL,42,1,42,558.90,"23,473.80"
2024091801022145,NABIL,42,36,20,558.50,"11,170.00"
2024091801022144,NABIL,42,5,58,558.50,"32,393.00"
2024091801022143,NABIL,42,49,50,558.00,"27,900.00"
2024091801022142,NABIL,42,6,185,558.00,"103,230.00"
2024091801022141,NABIL,42,58,68,558.00,"37,944.00"
2024091801022705,NABIL,21,60,17,557.00,"9,469.00"
2024091801022616,NABIL,32,47,10,558.00,"5,580.00"
2024091801022165,NABIL,34,51,10,556.00,"5,560.00"
2024091801022164,NABIL,38,51,50,556.00,"27,800.00"
2024091801022163,NABIL,57,51,36,556.00,"20,016.00"
2024091801022147,NABIL,42,26,73,559.00,"40,807.00"
2024091801022938,NABIL,34,41,40,558.00,"22,320.00"
2024091801022937,NABIL,34,41,224,557.50,"124,880.00"
2024091801022811,NABIL,55,60,10,557.00,"5,570.00"
2024091801022712,NABIL,39,41,10,558.00,"5,580.00"
2024091801022711,NABIL,39,47,40,558.00,"22,320.00"
2024091801022706,NABIL,29,60,50,557.00,"27,850.00"
2024091801023060,NABIL,43,16,17,557.00,"9,469.00"
2024091801023019,NABIL,43,19,133,557.00,"74,081.00"
2024091801022982,NABIL,13,60,10,556.20,"5,562.00"
2024091801022981,NABIL,49,60,10,556.20,"5,562.00"
2024091801022940,NABIL,34,19,76,558.00,"42,408.00"
2024091801022939,NABIL,34,7,100,558.00,"55,800.00"
2024091801023151,NABIL,38,60,20,557.00,"11,140.00"
2024091801023148,NABIL,57,60,50,557.00,"27,850.00"
2024091801023085,NABIL,32,60,17,557.00,"9,469.00"
2024091801023084,NABIL,32,16,83,557.00,"46,231.00"
2024091801023062,NABIL,11,16,50,557.00,"27,850.00"
2024091801023061,NABIL,36,16,350,557.00,"194,950.00"
2024091801023562,NABIL,45,38,187,557.00,"104,159.00"
2024091801023370,NABIL,45,6,118,557.00,"65,726.00"
2024091801023321,NABIL,50,60,56,556.00,"31,136.00"
2024091801023320,NABIL,40,60,20,556.10,"11,122.00"
2024091801023319,NABIL,25,60,147,556.10,"81,746.70"
2024091801023318,NABIL,13,60,40,556.20,"22,248.00"
2024091801023709,NABIL,48,19,10,556.00,"5,560.00"
2024091801023708,NABIL,50,19,44,556.00,"24,464.00"
2024091801023692,NABIL,28,38,21,556.50,"11,686.50"
2024091801023622,NABIL,38,38,250,556.50,"139,125.00"
2024091801023606,NABIL,22,38,50,556.50,"27,825.00"
2024091801023578,NABIL,48,38,20,556.50,"11,130.00"
2024091801023737,NABIL,54,19,100,556.00,"55,600.00"
2024091801023736,NABIL,57,19,10,556.00,"5,560.00"
2024091801023735,NABIL,29,19,100,556.00,"55,600.00"
2024091801023734,NABIL,42,19,22,556.00,"12,232.00"
2024091801023720,NABIL,36,38,350,556.50,"194,775.00"
2024091801023710,NABIL,42,19,78,556.00,"43,368.00"
2024091801023743,NABIL,29,19,50,556.00,"27,800.00"
2024091801023742,NABIL,25,19,30,556.00,"16,680.00"
2024091801023741,NABIL,56,19,10,556.00,"5,560.00"
2024091801023740,NABIL,41,19,10,556.00,"5,560.00"
2024091801023739,NABIL,17,19,20,556.00,"11,120.00"
2024091801023738,NABIL,45,19,50,556.00,"27,800.00"
2024091801023818,NABIL,6,19,10,556.00,"5,560.00"
2024091801023810,NABIL,33,19,100,556.00,"55,600.00"
2024091801023747,NABIL,57,19,333,556.00,"185,148.00"
2024091801023746,NABIL,6,19,10,556.00,"5,560.00"
2024091801023745,NABIL,42,19,10,556.00,"5,560.00"
2024091801023744,NABIL,56,19,200,556.00,"111,200.00"
2024091801024001,NABIL,44,19,25,555.30,"13,882.50"
2024091801023996,NABIL,44,58,15,555.30,"8,329.50"
2024091801023995,NABIL,58,58,10,555.50,"5,555.00"
2024091801023994,NABIL,25,58,100,555.50,"55,550.00"
2024091801023993,NABIL,7,58,25,555.50,"13,887.50"
2024091801023868,NABIL,42,19,32,556.00,"17,792.00"
2024091801024007,NABIL,48,19,50,555.00,"27,750.00"
2024091801024006,NABIL,22,19,50,555.00,"27,750.00"
2024091801024005,NABIL,41,19,87,555.00,"48,285.00"
2024091801024004,NABIL,11,19,150,555.10,"83,265.00"
2024091801024003,NABIL,57,19,99,555.10,"54,954.90"
2024091801024002,NABIL,34,19,100,555.20,"55,520.00"
2024091801024013,NABIL,26,19,180,555.00,"99,900.00"
2024091801024012,NABIL,42,19,100,555.00,"55,500.00"
2024091801024011,NABIL,55,19,50,555.00,"27,750.00"
2024091801024010,NABIL,53,19,35,555.00,"19,425.00"
2024091801024009,NABIL,7,19,20,555.00,"11,100.00"
2024091801024008,NABIL,41,19,10,555.00,"5,550.00"
2024091801024352,NABIL,56,34,15,556.00,"8,340.00"
2024091801024236,NABIL,51,34,150,556.00,"83,400.00"
2024091801024017,NABIL,46,19,320,555.00,"177,600.00"
2024091801024016,NABIL,49,19,100,555.00,"55,500.00"
2024091801024015,NABIL,36,19,100,555.00,"55,500.00"
2024091801024014,NABIL,58,19,10,555.00,"5,550.00"
2024091801024601,NABIL,1,4,10,556.00,"5,560.00"
2024091801024517,NABIL,1,22,25,556.00,"13,900.00"
2024091801024384,NABIL,1,4,10,556.00,"5,560.00"
2024091801024383,NABIL,1,49,10,556.00,"5,560.00"
2024091801024382,NABIL,1,34,18,556.00,"10,008.00"
2024091801024381,NABIL,1,38,100,555.50,"55,550.00"
2024091801008402,NABIL,54,43,40,558.70,"22,348.00"
2024091801008381,NABIL,59,57,155,558.60,"86,583.00"
2024091801008782,NABIL,64,53,272,558.90,"152,020.80"
2024091801008683,NABIL,64,26,80,558.90,"44,712.00"
2024091801008669,NABIL,45,26,10,558.90,"5,589.00"
2024091801008643,NABIL,48,26,400,558.90,"223,560.00"
2024091801008588,NABIL,93,26,10,558.90,"5,589.00"
2024091801008506,NABIL,8,38,20,558.00,"11,160.00"
2024091801009036,NABIL,17,38,20,560.00,"11,200.00"
2024091801009035,NABIL,17,36,20,560.00,"11,200.00"
2024091801009006,NABIL,21,42,25,560.00,"14,000.00"
2024091801008999,NABIL,57,54,20,560.00,"11,200.00"
2024091801008785,NABIL,8,42,10,560.00,"5,600.00"
2024091801008784,NABIL,8,3,33,560.00,"18,480.00"
2024091801009314,NABIL,93,53,10,560.00,"5,600.00"
2024091801009292,NABIL,28,1,200,559.00,"111,800.00"
2024091801009146,NABIL,64,17,39,558.90,"21,797.10"
2024091801009145,NABIL,34,17,10,559.00,"5,590.00"
2024091801009055,NABIL,93,33,70,561.90,"39,333.00"
2024091801009037,NABIL,17,35,10,561.00,"5,610.00"
2024091801009593,NABIL,22,53,100,560.00,"56,000.00"
2024091801009552,NABIL,13,53,25,560.00,"14,000.00"
2024091801009507,NABIL,52,53,15,560.00,"8,400.00"
2024091801009469,NABIL,58,53,25,560.00,"14,000.00"
2024091801009341,NABIL,34,53,100,560.00,"56,000.00"
2024091801009319,NABIL,13,53,100,560.00,"56,000.00"
2024091801009789,NABIL,21,33,34,561.90,"19,104.60"
2024091801009734,NABIL,38,53,373,560.00,"208,880.00"
2024091801009676,NABIL,11,53,100,560.00,"56,000.00"
2024091801009644,NABIL,42,53,50,560.00,"28,000.00"
2024091801009635,NABIL,49,53,10,560.00,"5,600.00"
2024091801009628,NABIL,55,53,20,560.00,"11,200.00"
2024091801009959,NABIL,47,42,10,562.00,"5,620.00"
2024091801009868,NABIL,34,38,15,562.00,"8,430.00"
2024091801009867,NABIL,34,41,200,562.00,"112,400.00"
2024091801009866,NABIL,34,58,182,561.90,"102,265.80"
2024091801009846,NABIL,32,58,18,561.90,"10,114.20"
2024091801009845,NABIL,32,33,32,561.90,"17,980.80"
2024091801010113,NABIL,32,60,483,562.00,"271,446.00"
2024091801010112,NABIL,38,60,127,562.00,"71,374.00"
2024091801010111,NABIL,17,60,90,562.00,"50,580.00"
2024091801010109,NABIL,7,42,15,563.00,"8,445.00"
2024091801010108,NABIL,7,4,10,562.90,"5,629.00"
2024091801010016,NABIL,17,42,110,562.00,"61,820.00"
2024091801010537,NABIL,34,33,50,563.80,"28,190.00"
2024091801010510,NABIL,45,4,10,563.10,"5,631.00"
2024091801010234,NABIL,1,58,15,563.00,"8,445.00"
2024091801010233,NABIL,1,42,425,563.00,"239,275.00"
2024091801010203,NABIL,6,42,50,563.00,"28,150.00"
2024091801010138,NABIL,93,42,10,563.00,"5,630.00"
2024091801010749,NABIL,22,45,70,563.90,"39,473.00"
2024091801010710,NABIL,22,19,585,564.00,"329,940.00"
2024091801010709,NABIL,22,57,295,563.90,"166,350.50"
2024091801010674,NABIL,34,57,105,563.90,"59,209.50"
2024091801010624,NABIL,13,19,100,564.00,"56,400.00"
2024091801010541,NABIL,35,19,10,564.00,"5,640.00"
2024091801010830,NABIL,7,17,110,563.90,"62,029.00"
2024091801010807,NABIL,22,17,115,563.90,"64,848.50"
2024091801010805,NABIL,22,56,10,563.90,"5,639.00"
2024091801010799,NABIL,34,19,53,564.00,"29,892.00"
2024091801010794,NABIL,22,56,275,563.90,"155,072.50"
2024091801010772,NABIL,22,42,30,563.90,"16,917.00"
2024091801011104,NABIL,42,60,90,563.50,"50,715.00"
2024091801011103,NABIL,16,60,10,563.60,"5,636.00"
2024091801010953,NABIL,43,19,500,564.00,"282,000.00"
2024091801010937,NABIL,18,19,10,564.00,"5,640.00"
2024091801010936,NABIL,18,17,80,563.90,"45,112.00"
2024091801010858,NABIL,17,17,10,563.90,"5,639.00"
2024091801011180,NABIL,43,45,10,563.90,"5,639.00"
2024091801011168,NABIL,42,5,6,563.00,"3,378.00"
2024091801011167,NABIL,55,5,10,563.00,"5,630.00"
2024091801011166,NABIL,49,5,14,563.00,"7,882.00"
2024091801011165,NABIL,48,5,10,563.50,"5,635.00"
2024091801011164,NABIL,42,5,10,563.50,"5,635.00"
2024091801011365,NABIL,58,58,20,563.00,"11,260.00"
2024091801011363,NABIL,58,25,10,563.50,"5,635.00"
2024091801011311,NABIL,4,25,100,563.50,"56,350.00"
2024091801011310,NABIL,39,25,150,563.60,"84,540.00"
2024091801011223,NABIL,42,19,102,564.00,"57,528.00"
2024091801011181,NABIL,43,19,490,564.00,"276,360.00"
2024091801011495,NABIL,21,32,83,563.00,"46,729.00"
2024091801011465,NABIL,48,6,10,563.50,"5,635.00"
2024091801011464,NABIL,48,25,40,563.50,"22,540.00"
2024091801011371,NABIL,21,38,117,563.00,"65,871.00"
2024091801011370,NABIL,42,38,80,563.00,"45,040.00"
2024091801011369,NABIL,58,38,30,563.00,"16,890.00"
2024091801011584,NABIL,42,58,70,563.00,"39,410.00"
2024091801011583,NABIL,16,58,198,563.00,"111,474.00"
2024091801011537,NABIL,16,60,302,563.00,"170,026.00"
2024091801011536,NABIL,45,60,198,563.00,"111,474.00"
2024091801011499,NABIL,45,59,40,563.00,"22,520.00"
2024091801011496,NABIL,45,32,117,563.00,"65,871.00"
2024091801011767,NABIL,35,58,10,561.00,"5,610.00"
2024091801011766,NABIL,20,58,10,561.00,"5,610.00"
2024091801011706,NABIL,32,58,35,562.00,"19,670.00"
2024091801011705,NABIL,21,58,45,562.00,"25,290.00"
2024091801011665,NABIL,21,38,50,562.00,"28,100.00"
2024091801011641,NABIL,21,11,100,562.20,"56,220.00"
2024091801011873,NABIL,45,42,2,560.00,"1,120.00"
2024091801011872,NABIL,45,26,98,560.00,"54,880.00"
2024091801011871,NABIL,34,26,100,560.00,"56,000.00"
2024091801011870,NABIL,22,26,10,560.00,"5,600.00"
2024091801011869,NABIL,58,26,292,560.00,"163,520.00"
2024091801011834,NABIL,58,58,28,560.00,"15,680.00"
2024091801012117,NABIL,35,43,16,560.00,"8,960.00"
2024091801012103,NABIL,41,43,30,560.00,"16,800.00"
2024091801012102,NABIL,55,43,10,560.00,"5,600.00"
2024091801012052,NABIL,28,35,350,559.00,"195,650.00"
2024091801012051,NABIL,28,35,50,559.00,"27,950.00"
2024091801012023,NABIL,7,35,100,560.00,"56,000.00"
2024091801012198,NABIL,64,43,144,560.00,"80,640.00"
2024091801012134,NABIL,28,14,185,559.00,"103,415.00"
2024091801012133,NABIL,28,14,115,559.00,"64,285.00"
2024091801012131,NABIL,28,51,250,559.00,"139,750.00"
2024091801012123,NABIL,28,34,135,559.00,"75,465.00"
2024091801012122,NABIL,28,34,150,559.00,"83,850.00"
2024091801012292,NABIL,45,4,11,559.00,"6,149.00"
2024091801012291,NABIL,54,4,27,559.00,"15,093.00"
2024091801012290,NABIL,28,4,96,559.00,"53,664.00"
2024091801012289,NABIL,22,4,100,559.10,"55,910.00"
2024091801012254,NABIL,51,41,10,560.00,"5,600.00"
2024091801012241,NABIL,4,41,10,560.00,"5,600.00"
2024091801012427,NABIL,34,58,60,562.00,"33,720.00"
2024091801012358,NABIL,51,58,10,562.00,"5,620.00"
2024091801012308,NABIL,64,41,35,560.00,"19,600.00"
2024091801012297,NABIL,64,7,200,560.00,"112,000.00"
2024091801012296,NABIL,64,41,130,560.00,"72,800.00"
2024091801012295,NABIL,64,4,66,559.00,"36,894.00"
2024091801012715,NABIL,1,49,122,562.00,"68,564.00"
2024091801012630,NABIL,1,32,20,562.00,"11,240.00"
2024091801012626,NABIL,34,22,10,562.70,"5,627.00"
2024091801012578,NABIL,22,22,100,562.70,"56,270.00"
2024091801012493,NABIL,1,56,18,562.00,"10,116.00"
2024091801012428,NABIL,34,56,40,562.00,"22,480.00"
2024091801012982,NABIL,39,57,50,562.00,"28,100.00"
2024091801012813,NABIL,16,57,100,562.00,"56,200.00"
2024091801012785,NABIL,64,57,362,562.00,"203,444.00"
2024091801012784,NABIL,64,49,138,562.00,"77,556.00"
2024091801012753,NABIL,41,49,10,562.00,"5,620.00"
2024091801012718,NABIL,64,21,50,560.10,"28,005.00"
2024091801013189,NABIL,64,25,98,560.10,"54,889.80"
2024091801013188,NABIL,64,25,49,560.10,"27,444.90"
2024091801013176,NABIL,49,45,100,561.00,"56,100.00"
2024091801013101,NABIL,51,38,20,561.00,"11,220.00"
2024091801013011,NABIL,64,93,10,560.10,"5,601.00"
2024091801013009,NABIL,55,57,266,562.00,"149,492.00"
2024091801013442,NABIL,51,7,50,561.00,"28,050.00"
2024091801013388,NABIL,21,36,10,560.20,"5,602.00"
2024091801013382,NABIL,17,36,13,561.00,"7,293.00"
2024091801013379,NABIL,17,34,10,560.50,"5,605.00"
2024091801013322,NABIL,64,67,18,560.10,"10,081.80"
2024091801013302,NABIL,64,58,200,560.10,"112,020.00"
2024091801013688,NABIL,5,32,11,561.00,"6,171.00"
2024091801013683,NABIL,5,34,31,561.00,"17,391.00"
2024091801013549,NABIL,64,58,50,560.10,"28,005.00"
2024091801013487,NABIL,45,57,26,562.00,"14,612.00"
2024091801013461,NABIL,46,57,10,562.00,"5,620.00"
2024091801013443,NABIL,58,7,50,561.00,"28,050.00"
2024091801013770,NABIL,64,45,134,560.10,"75,053.40"
2024091801013769,NABIL,22,45,40,560.50,"22,420.00"
2024091801013768,NABIL,88,45,200,561.00,"112,200.00"
2024091801013767,NABIL,58,45,10,561.00,"5,610.00"
2024091801013766,NABIL,58,45,10,561.00,"5,610.00"
2024091801013756,NABIL,83,45,10,561.80,"5,618.00"
2024091801013776,NABIL,42,45,140,560.00,"78,400.00"
2024091801013775,NABIL,44,45,196,560.00,"109,760.00"
2024091801013774,NABIL,6,45,15,560.00,"8,400.00"
2024091801013773,NABIL,58,45,12,560.00,"6,720.00"
2024091801013772,NABIL,39,45,20,560.00,"11,200.00"
2024091801013771,NABIL,64,45,129,560.00,"72,240.00"
2024091801014048,NABIL,41,45,10,561.80,"5,618.00"
2024091801013894,NABIL,14,22,34,560.00,"19,040.00"
2024091801013893,NABIL,58,22,14,560.00,"7,840.00"
2024091801013892,NABIL,57,22,21,560.00,"11,760.00"
2024091801013891,NABIL,45,22,50,561.50,"28,075.00"
2024091801013777,NABIL,57,45,94,560.00,"52,640.00"
2024091801014227,NABIL,52,45,20,560.00,"11,200.00"
2024091801014226,NABIL,42,45,34,560.00,"19,040.00"
2024091801014225,NABIL,14,45,16,560.00,"8,960.00"
2024091801014224,NABIL,42,45,11,560.10,"6,161.10"
2024091801014087,NABIL,42,45,10,561.00,"5,610.00"
2024091801014049,NABIL,41,57,20,562.00,"11,240.00"
2024091801014311,NABIL,40,45,20,560.00,"11,200.00"
2024091801014310,NABIL,58,45,10,560.00,"5,600.00"
2024091801014309,NABIL,49,45,596,560.00,"333,760.00"
2024091801014260,NABIL,49,49,155,560.00,"86,800.00"
2024091801014229,NABIL,49,45,14,560.00,"7,840.00"
2024091801014228,NABIL,43,45,105,560.00,"58,800.00"
2024091801014592,NABIL,53,57,29,559.00,"16,211.00"
2024091801014571,NABIL,53,45,21,559.00,"11,739.00"
2024091801014317,NABIL,7,45,15,560.00,"8,400.00"
2024091801014314,NABIL,42,45,85,560.00,"47,600.00"
2024091801014313,NABIL,42,45,35,560.00,"19,600.00"
2024091801014312,NABIL,11,45,100,560.00,"56,000.00"
2024091801014829,NABIL,21,58,10,559.00,"5,590.00"
2024091801014809,NABIL,21,58,90,559.00,"50,310.00"
2024091801014808,NABIL,4,58,101,560.00,"56,560.00"
2024091801014779,NABIL,4,58,14,560.00,"7,840.00"
2024091801014751,NABIL,21,58,150,559.00,"83,850.00"
2024091801014593,NABIL,21,57,196,559.00,"109,564.00"
2024091801014855,NABIL,19,20,220,559.00,"122,980.00"
2024091801014854,NABIL,77,20,10,559.00,"5,590.00"
2024091801014853,NABIL,22,20,25,560.00,"14,000.00"
2024091801014852,NABIL,41,20,35,560.50,"19,617.50"
2024091801014845,NABIL,41,36,200,560.50,"112,100.00"
2024091801014843,NABIL,32,36,50,560.50,"28,025.00"
2024091801015380,NABIL,55,49,165,559.00,"92,235.00"
2024091801015248,NABIL,19,34,39,559.00,"21,801.00"
2024091801014980,NABIL,19,43,23,559.00,"12,857.00"
2024091801014976,NABIL,19,57,166,559.00,"92,794.00"
2024091801014885,NABIL,50,38,100,560.00,"56,000.00"
2024091801014868,NABIL,19,51,50,559.00,"27,950.00"
2024091801015593,NABIL,19,38,10,559.00,"5,590.00"
2024091801015561,NABIL,13,49,10,559.50,"5,595.00"
2024091801015385,NABIL,19,38,10,559.00,"5,590.00"
2024091801015383,NABIL,19,49,190,559.00,"106,210.00"
2024091801015382,NABIL,58,49,35,559.00,"19,565.00"
2024091801015381,NABIL,58,49,10,559.00,"5,590.00"
2024091801015942,NABIL,4,26,39,559.30,"21,812.70"
2024091801015916,NABIL,17,22,35,560.00,"19,600.00"
2024091801015915,NABIL,17,45,65,560.00,"36,400.00"
2024091801015825,NABIL,19,58,55,559.00,"30,745.00"
2024091801015635,NABIL,19,13,17,559.00,"9,503.00"
2024091801015610,NABIL,5,52,10,559.50,"5,595.00"
2024091801016466,NABIL,38,49,30,560.00,"16,800.00"
2024091801016412,NABIL,19,49,40,560.00,"22,400.00"
2024091801016319,NABIL,45,49,425,560.00,"238,000.00"
2024091801016318,NABIL,45,45,10,560.00,"5,600.00"
2024091801016317,NABIL,45,22,65,560.00,"36,400.00"
2024091801016311,NABIL,4,58,20,559.50,"11,190.00"
2024091801016638,NABIL,50,8,40,559.50,"22,380.00"
2024091801016623,NABIL,4,49,79,560.00,"44,240.00"
2024091801016587,NABIL,36,49,30,560.00,"16,800.00"
2024091801016573,NABIL,4,4,1,559.00,559.00
2024091801016552,NABIL,58,49,50,560.00,"28,000.00"
2024091801016541,NABIL,4,45,50,559.90,"27,995.00"
2024091801016861,NABIL,54,4,100,559.80,"55,980.00"
2024091801016765,NABIL,51,45,259,560.00,"145,040.00"
2024091801016764,NABIL,51,49,41,560.00,"22,960.00"
2024091801016735,NABIL,45,49,30,560.00,"16,800.00"
2024091801016731,NABIL,11,1,26,559.10,"14,536.60"
2024091801016730,NABIL,50,1,10,559.50,"5,595.00"
2024091801016883,NABIL,45,42,10,559.00,"5,590.00"
2024091801016882,NABIL,22,42,50,559.00,"27,950.00"
2024091801016881,NABIL,38,42,50,559.00,"27,950.00"
2024091801016880,NABIL,26,42,26,559.00,"14,534.00"
2024091801016879,NABIL,19,42,18,559.00,"10,062.00"
2024091801016878,NABIL,11,42,74,559.10,"41,373.40"
2024091801016992,NABIL,45,44,20,559.00,"11,180.00"
2024091801016991,NABIL,41,44,63,559.00,"35,217.00"
2024091801016985,NABIL,41,36,27,559.00,"15,093.00"
2024091801016984,NABIL,42,36,87,559.00,"48,633.00"
2024091801016885,NABIL,42,42,13,559.00,"7,267.00"
2024091801016884,NABIL,62,42,14,559.00,"7,826.00"
2024091801017180,NABIL,47,25,50,559.70,"27,985.00"
2024091801017117,NABIL,94,6,22,558.90,"12,295.80"
2024091801017039,NABIL,14,44,26,559.00,"14,534.00"
2024091801016995,NABIL,41,44,16,559.00,"8,944.00"
2024091801016994,NABIL,52,44,125,559.00,"69,875.00"
2024091801016993,NABIL,34,44,50,559.00,"27,950.00"
2024091801017544,NABIL,54,25,200,559.70,"111,940.00"
2024091801017512,NABIL,62,25,200,559.70,"111,940.00"
2024091801017454,NABIL,45,25,110,559.70,"61,567.00"
2024091801017453,NABIL,45,42,90,559.60,"50,364.00"
2024091801017408,NABIL,41,42,10,559.60,"5,596.00"
2024091801017341,NABIL,94,19,20,558.90,"11,178.00"
2024091801017677,NABIL,13,45,21,559.70,"11,753.70"
2024091801017666,NABIL,14,4,30,559.80,"16,794.00"
2024091801017665,NABIL,6,4,20,559.80,"11,196.00"
2024091801017571,NABIL,32,25,202,559.70,"113,059.40"
2024091801017559,NABIL,25,25,100,559.70,"55,970.00"
2024091801017549,NABIL,55,25,11,559.70,"6,156.70"
2024091801017843,NABIL,43,57,10,560.00,"5,600.00"
2024091801017842,NABIL,42,57,20,560.00,"11,200.00"
2024091801017825,NABIL,14,40,26,560.00,"14,560.00"
2024091801017787,NABIL,62,40,100,560.00,"56,000.00"
2024091801017758,NABIL,14,43,50,559.90,"27,995.00"
2024091801017681,NABIL,14,4,50,559.80,"27,990.00"
2024091801018025,NABIL,14,4,30,560.00,"16,800.00"
2024091801018017,NABIL,44,57,59,559.80,"33,028.20"
2024091801018012,NABIL,51,4,12,560.00,"6,720.00"
2024091801017981,NABIL,38,4,50,560.00,"28,000.00"
2024091801017972,NABIL,14,57,46,560.00,"25,760.00"
2024091801017946,NABIL,44,57,82,560.00,"45,920.00"
2024091801018147,NABIL,13,50,25,559.50,"13,987.50"
2024091801018146,NABIL,58,50,10,559.60,"5,596.00"
2024091801018145,NABIL,13,50,79,559.70,"44,216.30"
2024091801018144,NABIL,56,50,10,559.80,"5,598.00"
2024091801018143,NABIL,44,50,31,559.80,"17,353.80"
2024091801018130,NABIL,44,14,110,559.80,"61,578.00"
2024091801018541,NABIL,35,52,13,559.00,"7,267.00"
2024091801018424,NABIL,55,22,148,559.00,"82,732.00"
2024091801018372,NABIL,34,49,10,559.90,"5,599.00"
2024091801018199,NABIL,6,49,10,559.90,"5,599.00"
2024091801018158,NABIL,17,49,100,559.90,"55,990.00"
2024091801018148,NABIL,55,50,345,559.00,"192,855.00"
2024091801018731,NABIL,58,58,100,559.00,"55,900.00"
2024091801018678,NABIL,58,48,122,559.00,"68,198.00"
2024091801018677,NABIL,53,48,350,559.00,"195,650.00"
2024091801018676,NABIL,59,48,10,559.00,"5,590.00"
2024091801018675,NABIL,58,48,18,559.00,"10,062.00"
2024091801018542,NABIL,58,52,17,559.00,"9,503.00"
2024091801019003,NABIL,21,26,15,559.00,"8,385.00"
2024091801019002,NABIL,58,26,10,559.00,"5,590.00"
2024091801019001,NABIL,58,26,147,559.00,"82,173.00"
2024091801018875,NABIL,58,38,244,559.00,"136,396.00"
2024091801018852,NABIL,58,45,187,559.00,"104,533.00"
2024091801018851,NABIL,58,45,200,559.10,"111,820.00"
2024091801019414,NABIL,57,49,30,559.00,"16,770.00"
2024091801019382,NABIL,1,49,50,559.00,"27,950.00"
2024091801019183,NABIL,53,53,55,559.00,"30,745.00"
2024091801019078,NABIL,53,35,10,559.00,"5,590.00"
2024091801019005,NABIL,53,26,128,559.00,"71,552.00"
2024091801019004,NABIL,25,26,100,559.00,"55,900.00"
2024091801019725,NABIL,57,13,10,558.30,"5,583.00"
2024091801019597,NABIL,14,5,32,558.50,"17,872.00"
2024091801019596,NABIL,57,5,10,558.50,"5,585.00"
2024091801019523,NABIL,94,1,58,558.90,"32,416.20"
2024091801019475,NABIL,55,49,10,559.00,"5,590.00"
2024091801019462,NABIL,8,49,15,559.00,"8,385.00"
2024091801019756,NABIL,25,32,46,558.00,"25,668.00"
2024091801019755,NABIL,53,32,22,558.00,"12,276.00"
2024091801019735,NABIL,53,21,28,558.00,"15,624.00"
2024091801019734,NABIL,32,21,22,558.00,"12,276.00"
2024091801019733,NABIL,22,21,50,558.10,"27,905.00"
2024091801019726,NABIL,54,13,30,558.20,"16,746.00"
2024091801019762,NABIL,14,32,30,558.00,"16,740.00"
2024091801019761,NABIL,40,32,15,558.00,"8,370.00"
2024091801019760,NABIL,49,32,100,558.00,"55,800.00"
2024091801019759,NABIL,35,32,30,558.00,"16,740.00"
2024091801019758,NABIL,50,32,17,558.00,"9,486.00"
2024091801019757,NABIL,16,32,500,558.00,"279,000.00"
2024091801019768,NABIL,58,32,10,558.00,"5,580.00"
2024091801019767,NABIL,14,32,30,558.00,"16,740.00"
2024091801019766,NABIL,44,32,500,558.00,"279,000.00"
2024091801019765,NABIL,58,32,50,558.00,"27,900.00"
2024091801019764,NABIL,45,32,25,558.00,"13,950.00"
2024091801019763,NABIL,6,32,20,558.00,"11,160.00"
2024091801019774,NABIL,58,32,385,558.00,"214,830.00"
2024091801019773,NABIL,46,32,10,558.00,"5,580.00"
2024091801019772,NABIL,34,32,50,558.00,"27,900.00"
2024091801019771,NABIL,35,32,10,558.00,"5,580.00"
2024091801019770,NABIL,19,32,100,558.00,"55,800.00"
2024091801019769,NABIL,34,32,50,558.00,"27,900.00"
2024091801020000,NABIL,54,53,36,557.10,"20,055.60"
2024091801019861,NABIL,22,22,20,558.00,"11,160.00"
2024091801019806,NABIL,49,49,4,558.00,"2,232.00"
2024091801019805,NABIL,38,49,100,558.00,"55,800.00"
2024091801019804,NABIL,58,49,15,558.00,"8,370.00"
2024091801019781,NABIL,58,38,100,558.00,"55,800.00"
2024091801020302,NABIL,44,42,56,557.00,"31,192.00"
2024091801020283,NABIL,44,43,110,557.00,"61,270.00"
2024091801020282,NABIL,44,32,10,557.00,"5,570.00"
